From,2020-06-01 18:51:30.582018,To,2020-07-01 18:51:30.582022,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#OverAll,All,,59795483,NoMatch,5.3%,3182791,,,,,,,,,,phones,92.4%,NoMatch,with phones,1264855,with emails,0,with social_profiles,824089,with jobs,574869,with educations,273835,with addresses,1576652,with dobs,428317,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",19.0186288821%,11372281,SingleMatch,93.3%,55792626,,,,,,,,,,emails,84.9%,NoMatch,without phones,1917936,without emails,3182791,without social_profiles,2358702,without jobs,2607922,without educations,2908956,without addresses,1606139,without dobs,2754474,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",15.7356417708%,9409203,MultipleMatch,1.4%,811017,,,,,,,,,,social_profiles,44.2%,PerfectMatch,with phones,51558278,with emails,47358943,with social_profiles,24651103,with jobs,21620526,with educations,8614408,with addresses,55744324,with dobs,42207046,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",13.7510303245%,8222495,,,,,,,,,,,,,jobs,38.8%,PerfectMatch,without phones,4234348,without emails,8433683,without social_profiles,31141523,without jobs,34172100,without educations,47178218,without addresses,48302,without dobs,13585580,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",11.1190020825%,6648661,,,,,,,,,,,,,educations,15.4%,PossibleMatch,with phones,422861,with emails,0,with social_profiles,283941,with jobs,218467,with educations,109561,with addresses,460498,with dobs,326179,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",6.52951829154%,3904357,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,388156,without emails,811017,without social_profiles,527076,without jobs,592550,without educations,701456,without addresses,350519,without dobs,484838,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,75.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66.1538213514%,39556997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#OverAll,All,,10723016,NoMatch,24.5%,2601997,,,,,,,,,,phones,94.0%,NoMatch,with phones,134447,with emails,0,with social_profiles,151834,with jobs,111632,with educations,86812,with addresses,150080,with dobs,121475,,,,,,,,,,,,,,,,,
,Phone,48.9104278125%,5244673,SingleMatch,53.4%,5664968,,,,,,,,,,emails,76.3%,NoMatch,without phones,2467550,without emails,2601997,without social_profiles,2450163,without jobs,2490365,without educations,2515185,without addresses,2451917,without dobs,2480522,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",12.3329760955%,1322467,MultipleMatch,22.0%,2333583,,,,,,,,,,social_profiles,44.2%,PerfectMatch,with phones,5326688,with emails,4323204,with social_profiles,2504989,with jobs,2507287,with educations,897161,with addresses,5609870,with dobs,3968843,,,,,,,,,,,,,,,,,
,Email,11.8884276588%,1274798,,,,,,,,,,,,,jobs,44.3%,PerfectMatch,without phones,338280,without emails,1341764,without social_profiles,3159979,without jobs,3157681,without educations,4767807,without addresses,55098,without dobs,1696125,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",4.40012399497%,471826,,,,,,,,,,,,,educations,15.8%,PossibleMatch,with phones,2255097,with emails,0,with social_profiles,1274202,with jobs,1114016,with educations,503672,with addresses,2321796,with dobs,1429259,,,,,,,,,,,,,,,,,
,"Name, Address",2.90740030603%,311761,,,,,,,,,,,,,addresses,99.0%,PossibleMatch,without phones,78486,without emails,2333583,without social_profiles,1059381,without jobs,1219567,without educations,1829911,without addresses,11787,without dobs,904324,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,70.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80.4393558678%,8625525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119465#OverAll,All,,5297591,NoMatch,5.5%,293156,,,,,,,,,,phones,51.7%,NoMatch,with phones,9,with emails,0,with social_profiles,9,with jobs,9,with educations,9,with addresses,9,with dobs,9,,,,,,,,,,,,,,,,,
,"Name, UserID",93.4933821807%,4952897,SingleMatch,94.4%,5002211,,,,,,,,,,emails,59.1%,NoMatch,without phones,293147,without emails,293156,without social_profiles,293147,without jobs,293147,without educations,293147,without addresses,293147,without dobs,293147,,,,,,,,,,,,,,,,,
,"Name, Username",6.50057733789%,344374,MultipleMatch,0.0%,1980,,,,,,,,,,social_profiles,100.0%,PerfectMatch,with phones,2588254,with emails,2956964,with social_profiles,5001945,with jobs,4986321,with educations,3006278,with addresses,4988722,with dobs,2227648,,,,,,,,,,,,,,,,,
,,0.00460586708185%,244,,,,,,,,,,,,,jobs,99.7%,PerfectMatch,without phones,2413957,without emails,2045247,without social_profiles,266,without jobs,15890,without educations,1995933,without addresses,13489,without dobs,2774563,,,,,,,,,,,,,,,,,
,Name,0.000830566195088%,44,,,,,,,,,,,,,educations,60.1%,PossibleMatch,with phones,24,with emails,0,with social_profiles,24,with jobs,24,with educations,23,with addresses,24,with dobs,24,,,,,,,,,,,,,,,,,
,Email,0.000169888539904%,9,,,,,,,,,,,,,addresses,99.7%,PossibleMatch,without phones,1956,without emails,1980,without social_profiles,1956,without jobs,1956,without educations,1957,without addresses,1956,without dobs,1956,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,44.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99.9995658404%,5297568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7963#OverAll,All,,2512278,NoMatch,43.3%,1088670,,,,,,,,,,phones,100.0%,NoMatch,with phones,0,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,0,with dobs,0,,,,,,,,,,,,,,,,,
,Phone,99.9895712178%,2512016,SingleMatch,46.9%,1179174,,,,,,,,,,emails,39.3%,NoMatch,without phones,1088670,without emails,1088670,without social_profiles,1088670,without jobs,1088670,without educations,1088670,without addresses,1088670,without dobs,1088670,,,,,,,,,,,,,,,,,
,,0.010428782165%,262,MultipleMatch,9.7%,244172,,,,,,,,,,social_profiles,49.3%,PerfectMatch,with phones,1179170,with emails,463614,with social_profiles,580782,with jobs,229406,with educations,148843,with addresses,1176333,with dobs,227575,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,jobs,19.5%,PerfectMatch,without phones,4,without emails,715560,without social_profiles,598392,without jobs,949768,without educations,1030331,without addresses,2841,without dobs,951599,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,educations,12.6%,PossibleMatch,with phones,76,with emails,0,with social_profiles,49,with jobs,49,with educations,22,with addresses,76,with dobs,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,addresses,99.8%,PossibleMatch,without phones,244096,without emails,244172,without social_profiles,244123,without jobs,244123,without educations,244150,without addresses,244096,without dobs,244167,,,,,,,,,,,,,,,,,
