From,2021-01-01 01:22:15.850705,To,2021-02-01 01:22:15.850756,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#US,All,,88698757,NoMatch,4.2%,3735802,,,,,,,,,,phones,92.6%,NoMatch,with phones,1838714,with emails,0,with social_profiles,1401717,with jobs,1017334,with educations,567809,with addresses,2243936,with dobs,919961,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",19.68827252%,17463253,SingleMatch,94.9%,84157834,,,,,,,,,,emails,84.3%,NoMatch,without phones,1897088,without emails,3735802,without social_profiles,2334085,without jobs,2718468,without educations,3167993,without addresses,1491866,without dobs,2815841,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",17.626296612%,15634306,MultipleMatch,0.9%,802212,,,,,,,,,,social_profiles,50.0%,PerfectMatch,with phones,77927969,with emails,70927054,with social_profiles,42110627,with jobs,35276622,with educations,14860908,with addresses,84089837,with dobs,70235548,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",14.0916146097%,12499087,,,,,,,,,,,,,jobs,41.9%,PerfectMatch,without phones,6229865,without emails,13230780,without social_profiles,42047207,without jobs,48881212,without educations,69296926,without addresses,67997,without dobs,13922286,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",12.7709512322%,11327675,,,,,,,,,,,,,educations,17.7%,PossibleMatch,with phones,599904,with emails,0,with social_profiles,410318,with jobs,338759,with educations,177524,with addresses,641320,with dobs,501792,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",6.14242429575%,5448254,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,202308,without emails,802212,without social_profiles,391894,without jobs,463453,without educations,624688,without addresses,160892,without dobs,300420,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,83.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70.3195592696%,62372575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#US,All,,14388749,NoMatch,28.2%,4057119,,,,,,,,,,phones,96.3%,NoMatch,with phones,107916,with emails,0,with social_profiles,105015,with jobs,99302,with educations,80658,with addresses,110368,with dobs,105473,,,,,,,,,,,,,,,,,
,Phone,67.6768703103%,9737855,SingleMatch,50.2%,7217803,,,,,,,,,,emails,71.0%,NoMatch,without phones,3949203,without emails,4057119,without social_profiles,3952104,without jobs,3957817,without educations,3976461,without addresses,3946751,without dobs,3951646,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",11.4387984668%,1645900,MultipleMatch,21.6%,3113547,,,,,,,,,,social_profiles,45.4%,PerfectMatch,with phones,6947696,with emails,5122985,with social_profiles,3273837,with jobs,3409784,with educations,1177807,with addresses,7198785,with dobs,5082558,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",4.21682246316%,606748,,,,,,,,,,,,,jobs,47.2%,PerfectMatch,without phones,270107,without emails,2094818,without social_profiles,3943966,without jobs,3808019,without educations,6039996,without addresses,19018,without dobs,2135245,,,,,,,,,,,,,,,,,
,"Name, Address",2.6087952469%,375373,,,,,,,,,,,,,educations,16.3%,PossibleMatch,with phones,3031625,with emails,0,with social_profiles,1471708,with jobs,1374822,with educations,563570,with addresses,3029868,with dobs,1881336,,,,,,,,,,,,,,,,,
,"Names, Addresses, Email, Phones",2.17582501439%,313074,,,,,,,,,,,,,addresses,99.7%,PossibleMatch,without phones,81922,without emails,3113547,without social_profiles,1641839,without jobs,1738725,without educations,2549977,without addresses,83679,without dobs,1232211,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,70.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
