From,2020-05-01 21:56:37.452542,To,2020-06-01 21:56:37.452578,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
53445#US,All,,44827,NoMatch,22.3%,9986,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phone,57.3359805474%,25702,SingleMatch,51.6%,23128,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address",17.7526936891%,7958,MultipleMatch,26.1%,11710,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Phone",2.60557253441%,1168,,,,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email",1.7846387222%,800,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",1.28270908158%,575,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80.7615945747%,36203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32617#US,All,,8825,NoMatch,26.4%,2330,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phone,63.5807365439%,5611,SingleMatch,48.3%,4260,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address",8.88385269122%,784,MultipleMatch,25.3%,2233,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Address, Phone",4.09065155807%,361,,,,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Phone",1.79036827195%,158,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",0.702549575071%,62,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
